Team,Player
Tottenham Hotspur,H. Kane
Tottenham Hotspur,B. Davies
Manchester United,A. Sanchez
Manchester United,P. Pogba
Chelsea,Willian
Tottenham Hotspur,C. Eriksen
Tottenham Hotspur,S. Aurier
Crystal Palace,A. Townsend
Crystal Palace,P. van Aanholt
Tottenham Hotspur,D. Alli
Crystal Palace,A. Sorloth
Crystal Palace,J. McArthur
Crystal Palace,J. Tomkins
Chelsea,D. Drinkwater
Manchester United,A. Martial
Chelsea,Alvaro Morata
Manchester United,R. Lukaku
Manchester United,J. Lingard
Chelsea,V. Moses
Chelsea,Marcos Alonso
Stoke City,X. Shaqiri
Liverpool,S. Mane
West Ham United,M. Antonio
Liverpool,E. Can
Liverpool,Mohamed Salah
Liverpool,Roberto Firmino
AFC Bournemouth,A. Smith
Newcastle United,D. Gayle
AFC Bournemouth,D. Gosling
Brighton & Hove Albion,G. Murray
Brighton & Hove Albion,A. Knockaert
Huddersfield Town,S. Mounie
Brighton & Hove Albion,J. Locadia
Huddersfield Town,R. van La Parra
West Bromwich Albion,C. Dawson
Burnley,A. Barnes
Southampton,M. Gabbiadini
Watford,T. Deeney
Swansea City,M. van der Hoorn
Swansea City,Martin Olsson
Brighton & Hove Albion,S. Duffy
Swansea City,N. Dyer
Brighton & Hove Albion,P. Gross
Brighton & Hove Albion,J. Izquierdo
Swansea City,F. Fernandez
Brighton & Hove Albion,E. Schelotto
Swansea City,S. Clucas
Swansea City,Sung-Yeung Ki
Brighton & Hove Albion,D. Propper
AFC Bournemouth,S. Cook
West Bromwich Albion,S. Rondon
Huddersfield Town,F. Hadergjonaj
Huddersfield Town,D. Williams
Huddersfield Town,T. Kongolo
Huddersfield Town,A. Pritchard
West Bromwich Albion,J. McClean
West Bromwich Albion,G. Krychowiak
West Bromwich Albion,G. Barry
West Bromwich Albion,C. Brunt
West Bromwich Albion,O. Burke
AFC Bournemouth,J. Stanislas
AFC Bournemouth,J. Defoe
AFC Bournemouth,C. Daniels
Liverpool,A. Oxlade-Chamberlain
Liverpool,A. Lallana
Newcastle United,M. Ritchie
Newcastle United,Kenedy
AFC Bournemouth,C. Wilson
AFC Bournemouth,R. Fraser
AFC Bournemouth,N. Ake
Newcastle United,C. Atsu
Newcastle United,Ayoze Perez
Newcastle United,J. Shelvey
Southampton,J. Sims
Swansea City,L. Dunk
Leicester City,J. Butland
Southampton,J. Stephens
Southampton,G. Carrillo
Watford,E. Capoue
Everton,A. Williams
Everton,G. Sigurdsson
Watford,A. Doucoure
Southampton,M. Lemina
Burnley,J. Gudmundsson
Burnley,A. Lennon
Southampton,D. Tadic
Southampton,N. Redmond
Burnley,A. Westwood
Watford,Deulofeu
Watford,S. Prodl
Everton,M. Keane
Everton,C. Tosun
Watford,J. Holebas
Everton,W. Rooney
Watford,Kiko Femenia
West Ham United,J. Collins
Leicester City,W. Ndidi
Leicester City,R. Mahrez
Leicester City,M. James
Stoke City,C. Adam
Leicester City,K. Iheanacho
Leicester City,M. Albrighton
Stoke City,M. Diouf
Leicester City,B. Chilwell
Stoke City,Badou N'Diaye
Leicester City,H. Maguire
West Ham United,M. Arnautovic
West Ham United,M. Lanzini
West Ham United,P. Zabaleta
Liverpool,V. van Dijk
West Bromwich Albion,J. Rodriguez
Chelsea,O. Giroud
Chelsea,A. Christensen
Chelsea,D. Zappacosta
Chelsea,E. Hazard
West Bromwich Albion,J. Evans
Chelsea,Pedro
Southampton,J. Ward-Prowse
Liverpool,G. Wijnaldum
Southampton,P. Hojbjerg
Southampton,W. Hoedt
Manchester United,A. Young
Manchester United,M. Carrick
Liverpool,A. Robertson
Huddersfield Town,M. Jorgensen
AFC Bournemouth,J. Ibe
Huddersfield Town,A. Mooy
Huddersfield Town,T. Ince
AFC Bournemouth,L. Mousset
Huddersfield Town,P. Billing
AFC Bournemouth,L. Cook
Arsenal,A. Lacazette
Arsenal,M. Ozil
Stoke City,Jese
Watford,A. Mariappa
West Ham United,Joao Mario
West Ham United,C. Kouyate
Crystal Palace,J. Ward
Crystal Palace,C. Benteke
Crystal Palace,Y. Cabaye
Everton,T. Davies
Everton,I. Gueye
Watford,Richarlison
Watford,D. Lukebakio
Brighton & Hove Albion,S. March
Stoke City,E. Choupo-Moting
Stoke City,K. Zouma
Manchester City,R. Sterling
Everton,O. Niasse
Manchester City,S. Aguero
Manchester City,N. Otamendi
Manchester City,I. Gundogan
Manchester City,Fernandinho
Manchester City,K. De Bruyne
Leicester City,J. Vardy
Manchester City,Bernardo Silva
Burnley,S. Vokes
Swansea City,K. Naughton
Swansea City,T. Carroll
Swansea City,T. Abraham
Swansea City,J. Ayew
Burnley,B. Mee
Burnley,J. Hendrick
Arsenal,J. Wilshere
Arsenal,Bellerin
Tottenham Hotspur,M. Dembele
Tottenham Hotspur,Heung-Min Son
Tottenham Hotspur,E. Dier
Tottenham Hotspur,E. Lamela
Tottenham Hotspur,K. Trippier
Tottenham Hotspur,J. Vertonghen
West Ham United,Javier Hernandez
Crystal Palace,L. Milivojevic
Watford,R. Pereyra
Watford,D. Janmaat
Chelsea,Fabregas
Crystal Palace,W. Zaha
Newcastle United,I. Hayden
Newcastle United,M. Diame
Tottenham Hotspur,V. Wanyama
Manchester City,Danilo
West Bromwich Albion,Ahmed Hegazi
AFC Bournemouth,J. King
Everton,D. Calvert-Lewin
Arsenal,A. Ramsey
Arsenal,L. Koscielny
Arsenal,P. Aubameyang
Southampton,S. Boufal
Arsenal,Nacho Monreal
Arsenal,G. Xhaka
Arsenal,H. Mkhitaryan
Arsenal,S. Mustafi
Stoke City,P. Crouch
Stoke City,J. Allen
Everton,E. Mangala
Everton,T. Walcott
Everton,R. Martina
Leicester City,D. Gray
Leicester City,F. Diabate
Burnley,K. Long
Manchester United,S. McTominay
Manchester United,C. Smalling
Huddersfield Town,L. Depoitre
Manchester United,A. Valencia
Manchester City,V. Kompany
West Ham United,S. Byram
West Bromwich Albion,M. Phillips
West Bromwich Albion,D. Sturridge
Southampton,S. Long
Brighton & Hove Albion,B. Kayal
Chelsea,C. Hudson-Odoi
Chelsea,A. Rudiger
Southampton,S. Davis
Southampton,R. Bertrand
Southampton,Cedric Soares
Southampton,Oriol Romeu
Chelsea,T. Bakayoko
Chelsea,G. Cahill
Chelsea,R. Barkley
Burnley,G. N'Koudou
Everton,S. Coleman
Newcastle United,Joselu
Newcastle United,Mikel Merino
Manchester City,David Silva
Stoke City,M. Bauer
Watford,T. Cleverley
Newcastle United,J. Lascelles
Burnley,K. Darlow
Tottenham Hotspur,P. Jones
Stoke City,R. Shawcross
Manchester City,K. Walker
Manchester City,O. Zinchenko
Manchester City,Brahim Diaz
Liverpool,J. Milner
West Ham United,A. Ogbonna
West Ham United,A. Cresswell
Crystal Palace,T. Fosu-Mensah
West Ham United,D. Rice
Swansea City,L. Fer
Arsenal,A. Iwobi
Swansea City,A. Mawson
Crystal Palace,M. Kelly
West Ham United,M. Noble
Huddersfield Town,C. Lowe
Liverpool,J. Matip
Liverpool,J. Gomez
Liverpool,D. Ings
Tottenham Hotspur,M. Sissoko
Southampton,M. Obafemi
Southampton,D. Sanchez
West Ham United,Pedro Obiang
Huddersfield Town,J. Hogg
Huddersfield Town,C. Quaner
Watford,A. Gray
Watford,A. Carrillo
Watford,B. Watson
Leicester City,S. Okazaki
Chelsea,M. Batshuayi
Chelsea,David Luiz
Chelsea,N. Kante
Brighton & Hove Albion,T. Hemed
Arsenal,Mohamed Elneny
Manchester City,L. Sane
Manchester City,J. Stones
Newcastle United,C. Clark
Newcastle United,Jacob Murphy
Crystal Palace,B. Sako
Everton,M. Holgate
Burnley,J. Tarkowski
Everton,M. Schneiderlin
Everton,J. Kenny
Everton,Y. Bolasie
Manchester United,L. Shaw
Manchester United,Mata
Stoke City,S. Ireland
Stoke City,Ramadan Sobhi
Manchester United,M. Rashford
Arsenal,D. Welbeck
Arsenal,A. Maitland-Niles
Huddersfield Town,J. Lolley
Everton,J. McCarthy
Brighton & Hove Albion,Bruno Saltor
Burnley,J. Cork
Swansea City,W. Bony
Swansea City,O. McBurnie
Watford,S. Okaka
Huddersfield Town,S. Malone
Newcastle United,P. Dummett
Swansea City,K. Bartley
Huddersfield Town,C. Schindler
Watford,M. Wague
Watford,C. Kabasele
Brighton & Hove Albion,G. Bong
Tottenham Hotspur,Llorente
West Ham United,A. Ayew
West Ham United,A. Carroll
Swansea City,L. Narsingh
West Ham United,A. Masuaku
Swansea City,Renato Sanches
West Bromwich Albion,C. Yacob
Leicester City,C. Fuchs
Stoke City,K. Wimmer
Liverpool,D. Lovren
AFC Bournemouth,M. Pugh
AFC Bournemouth,S. Francis
AFC Bournemouth,H. Arter
Leicester City,I. Slimani
Liverpool,T. Alexander-Arnold
Manchester United,M. Rojo
Burnley,S. Defour
Liverpool,D. Solanke
Burnley,S. Arfield
Everton,N. Vlasic
Manchester United,Ander Herrera
Liverpool,R. Klavan
West Bromwich Albion,H. Robson-Kanu
Manchester City,Gabriel Jesus
Manchester City,Y. Toure
Stoke City,S. Berahino
Chelsea,Azpilicueta
Burnley,P. Bardsley
Swansea City,Roque Mesa
Manchester United,N. Matic
Burnley,N. Wells
Liverpool,Philippe Coutinho
AFC Bournemouth,B. Afobe
Crystal Palace,R. Loftus-Cheek
Crystal Palace,J. Schlupp
Newcastle United,R. Aarons
Leicester City,W. Morgan
Watford,K. Schmeichel
Leicester City,L. Ulloa
Southampton,M. Yoshida
West Bromwich Albion,K. Gibbs
Manchester United,Z. Ibrahimovic
Southampton,C. Austin
Newcastle United,H. Saivet
Newcastle United,D. Yedlin
Burnley,C. Wood
Crystal Palace,S. Dann
Stoke City,D. Fletcher
West Bromwich Albion,J. Livermore
Brighton & Hove Albion,C. Goldson
Everton,A. Lookman
Huddersfield Town,E. Kachunga
West Ham United,D. Sakho
Leicester City,Iborra
Leicester City,A. King
Tottenham Hotspur,D. Rose
Newcastle United,F. Lejeune
Liverpool,J. Henderson
Leicester City,D. Simpson
Huddersfield Town,T. Smith
AFC Bournemouth,A. Surman
Crystal Palace,M. Sakho
Southampton,J. Pied
Manchester City,F. Delph
West Bromwich Albion,S. Field
Burnley,R. Brady
Brighton & Hove Albion,D. Stephens
Arsenal,S. Kolasinac
Everton,K. Mirallas
Watford,W. Hughes
Tottenham Hotspur,H. Winks
Newcastle United,A. Mitrovic
Watford,M. Britos
West Ham United,W. Reid
Everton,L. Baines
Liverpool,Alberto Moreno
Everton,Sandro Ramirez
Huddersfield Town,A. Sabiri
Burnley,S. Ward
Manchester United,M. Fellaini
Newcastle United,Javi Manquillo
Everton,P. Jagielka
Tottenham Hotspur,T. Alderweireld
Arsenal,P. Mertesacker
West Ham United,Jose Fonte
Swansea City,W. Routledge
Stoke City,G. Cameron
West Bromwich Albion,A. Nyom
West Bromwich Albion,N. Chadli
Brighton & Hove Albion,I. Brown
Chelsea,C. Musonda
Manchester United,M. Darmian
Burnley,M. Lowton
Crystal Palace,J. Puncheon
Crystal Palace,J. Riedewald
Newcastle United,Jesus Gamez
Manchester City,B. Mendy
Manchester United,E. Bailly
Newcastle United,C. Mbemba
West Bromwich Albion,J. Morrison
Watford,N. Chalobah
Brighton & Hove Albion,L. Rosenior
Crystal Palace,L. Lumeka
Arsenal,F. Coquelin
Stoke City,E. Pieters
Arsenal,R. Holding
West Ham United,E. Fernandes
Huddersfield Town,K. Palmer
Crystal Palace,Chung-Yong Lee
Brighton & Hove Albion,J. Murphy
Watford,N. Amrabat
Burnley,J. Walters
Manchester United,D. Blind
Stoke City,Bojan
Everton,D. Klaassen
Watford,Y. Kaboul
Sheffield Wednesday,A. Abdi
Aston Villa,A. Adomah
Bolton Wanderers,A. Armstrong
Queens Park Rangers,A. Baptiste
Brentford,A. Bjelland
Nottingham Forest,A. Bouchalakis
Preston North End,A. Boyle
Preston North End,A. Browne
Middlesbrough,A. Clayton
Hull City,A. Diomande
Ipswich Town,A. Dozzell
Sunderland,A. Fletcher
Bristol City,A. Flint
Middlesbrough,A. Forshaw
Aston Villa,A. Green
Nottingham Forest,A. Guedioura
Cardiff City,A. Gunnarsson
Barnsley,A. Hammill
Hull City,A. Hernandez
Aston Villa,A. Hutton
Barnsley,A. Jackson
Brentford,A. Judge
Fulham,A. Kamara
Bolton Wanderers,A. Le Fondre
Barnsley,A. MacDonald
Ipswich Town,A. Matthews
Sunderland,A. McGeady
Fulham,A. Mitrovic
Wolverhampton Wanderers,A. N'Diaye
Sheffield Wednesday,A. Nuhiu
Millwall,A. O'Brien
Queens Park Rangers,A. Oteh
Derby County,A. Pearce
Cardiff City,A. Pilkington
Norwich City,A. Pritchard
Sheffield Wednesday,A. Reach
Bolton Wanderers,A. Robinson
Queens Park Rangers,A. Smithies
Norwich City,A. Tettey
Cardiff City,A. Traore
Nottingham Forest,A. Vellios
Ipswich Town,A. Webster
Derby County,A. Weimann
Bolton Wanderers,A. Wilbraham
Derby County,A. Wisdom
Barnsley,A. Yiadom
Middlesbrough,Adama Traore
Reading,Adrian Popa I
Burton Albion,Ahmed El Mohamady
Wolverhampton Wanderers,B. Afobe
Middlesbrough,B. Assombalonga
Sheffield Wednesday,B. Bannan
Leeds United,B. Bialkowski
Aston Villa,B. Bjarnason
Preston North End,B. Bodin
Nottingham Forest,B. Brereton
Ipswich Town,B. Celina
Preston North End,B. Davies
Wolverhampton Wanderers,B. Douglas
Cardiff City,B. Ecuele Manga
Wolverhampton Wanderers,B. Enobakhare
Sunderland,B. Galloway
Middlesbrough,B. Gibson
Derby County,B. Johnson
Sunderland,B. Jones
Millwall,B. Marshall
Nottingham Forest,B. McKay
Queens Park Rangers,B. Osayi-Samuel
Nottingham Forest,B. Osborn
Sunderland,B. Oviedo
Preston North End,B. Pearson
Barnsley,B. Potts
Bristol City,B. Reid
Sheffield United,B. Sharp
Burton Albion,B. Turner
Millwall,B. Webster
Bristol City,B. Wright
Birmingham City,C. Adams
Derby County,C. Baird
Sheffield United,C. Basham
Birmingham City,C. Bramall
Cardiff City,C. Bryson
Ipswich Town,C. Carter-Vickers
Middlesbrough,C. Christie
Preston North End,C. Coady
Ipswich Town,C. Connolly
Derby County,C. Davies
Sheffield United,C. Donaldson
Leeds United,C. Ekuban
Sheffield United,C. Evans
Derby County,C. Forsyth
Birmingham City,C. Gardner
Reading,C. Gunter
Aston Villa,C. Hourihane
Birmingham City,C. Jenkinson
Derby County,C. Jerome
Sheffield United,C. Lavery
Barnsley,C. Mahoney
Reading,C. Martin
Barnsley,C. McGeehan
Millwall,C. McLaughlin
Sunderland,C. McManaman
Brentford,C. Mepham
Birmingham City,C. N'Doye
Bolton Wanderers,C. Noone
Bristol City,C. O'Dowda
Aston Villa,C. O'Hare
Cardiff City,C. Paterson
Preston North End,C. Robinson
Aston Villa,C. Samba
Leeds United,C. Shaughnessy
Ipswich Town,C. Skuse
Queens Park Rangers,C. Washington
Leeds United,C. Wood
Bristol City,C. Woodrow
Preston North End,C. Woods
Norwich City,C. Zimmermann
Birmingham City,Che Adams
Wolverhampton Wanderers,D. Batth
Burton Albion,D. Bent
Sunderland,D. Bentley
Sheffield United,D. Brooks
Barnsley,D. Cavare
Birmingham City,D. Cotterill
Birmingham City,D. Davis
Bolton Wanderers,D. Dervite
Reading,D. Edwards
Preston North End,D. Fisher
Nottingham Forest,D. Fox
Middlesbrough,D. Fry
Queens Park Rangers,D. Furlong
Sunderland,D. Gibson
Preston North End,D. Horgan
Ipswich Town,D. Iorfa
Preston North End,D. Johnson
Sheffield Wednesday,D. Jones
Sheffield United,D. Lafferty
Sunderland,D. Love
Ipswich Town,D. McGoldrick
Hull City,D. Meyler
Nottingham Forest,D. Murphy
Sunderland,D. Ndong
Derby County,D. Nugent
Fulham,D. Odoi
Bolton Wanderers,D. Pratley
Sheffield Wednesday,D. Pudil
Ipswich Town,D. Rowe
Nottingham Forest,D. Vaughan
Cardiff City,D. Ward
Sunderland,D. Watmore
Bolton Wanderers,D. Wheater
Queens Park Rangers,D. Wheeler
Barnsley,Dani Pinillos
Middlesbrough,Daniel Ayala
Bolton Wanderers,Derik Osede
Wolverhampton Wanderers,Diogo Jota
Leeds United,E. Alioski
Queens Park Rangers,E. Eze
Ipswich Town,E. Huws
Nottingham Forest,E. Lichaj
Leeds United,E. O'Kane
Barnsley,E. Pinnock
Bristol City,E. Pisano
Sunderland,E. Robson
Sheffield United,E. Stevens
Hull City,Evandro
Fulham,F. Ayite
Hull City,F. Campbell
Bristol City,F. Diedhiou
Ipswich Town,F. Downes
Sheffield Wednesday,F. Forestieri
Brentford,F. Jozefzoon
Millwall,F. Onyedinma
Ipswich Town,F. Sears
Hull City,F. Tomori
Middlesbrough,Fabio
Bolton Wanderers,Filipe Morais
Sheffield Wednesday,Frederico Venancio
Aston Villa,G. Agbonlahor
Sheffield United,G. Baldock
Leeds United,G. Berardi
Sheffield Wednesday,G. Boyd
Preston North End,G. Cunningham
Reading,G. Evans
Middlesbrough,G. Friend
Barnsley,G. Gardner
Cardiff City,G. Halford
Norwich City,G. Hanley
Sunderland,G. Honeyman
Sheffield Wednesday,G. Hooper
Middlesbrough,G. Leadbitter
Sheffield Wednesday,G. Loovens
Cardiff City,G. Madine
Reading,G. McCleary
Barnsley,G. Moncur
Millwall,G. Saville
Derby County,G. Thorne
Ipswich Town,G. Ward
Aston Villa,G. Whelan
Burton Albion,H. Akpan
Barnsley,H. Barnes
Brentford,H. Dalsgaard
Birmingham City,H. Dean
Aston Villa,H. Lansbury
Bristol City,H. Magnusson
Norwich City,H. Reed
Leeds United,H. Sacko
Hull City,H. Wilson
Wolverhampton Wanderers,Helder Costa
Derby County,I. Anya
Queens Park Rangers,I. Chair
Fulham,I. Cisse
Queens Park Rangers,I. Sylla
Barnsley,I. Ugbo
Birmingham City,I. Vassell
Queens Park Rangers,Idrissa Sylla
Wolverhampton Wanderers,Ivan Cavaleiro
Norwich City,Ivo Pinto
Burton Albion,J. Allen
Sunderland,J. Asoro
Cardiff City,J. Bennett
Queens Park Rangers,J. Bidwell
Barnsley,J. Bird
Reading,J. Bodvarsson
Birmingham City,J. Boga
Hull City,J. Bowen
Burton Albion,J. Brayford
Bristol City,J. Brownhill
Bristol City,J. Bryan
Sheffield Wednesday,J. Butterfield
Burton Albion,J. Buxton
Aston Villa,J. Chester
Brentford,J. Clarke
Sunderland,J. Clarke-Salter
Nottingham Forest,J. Colback
Millwall,J. Cooper
Queens Park Rangers,J. Cousins
Bolton Wanderers,J. Cullen
Nottingham Forest,J. Cummings
Burton Albion,J. Davenport
Preston North End,J. Earl
Brentford,J. Egan
Sheffield United,J. Fleck
